year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2015,10,18,26,נקבה,"ארה""ב",צפון אמריקה,שחר,מחוז הדרום וירושלים,לא צויין
2015,7,38,46,נקבה,בריטניה,מערב אירופה,חצבה,מחוז הדרום וירושלים,גננת
2015,3,35,43,זכר,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,עובד סוציאלי
2015,3,32,41,נקבה,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,שיווק ויחסי ציבור
2015,3,3,12,נקבה,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,לא צויין
2015,7,37,45,זכר,קנדה,צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,רופא
2015,7,5,13,נקבה,קנדה,צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,לא צויין
2015,1,57,66,זכר,"ארה""ב",צפון אמריקה,יסוד המעלה,מחוז הצפון,פיסיקאי
2015,9,19,27,נקבה,מכסיקו,צפון אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,2,41,50,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מתכנת
2015,7,63,72,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2015,9,40,48,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,רופא מרדים
2015,9,15,23,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2015,10,19,27,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,10,20,27,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,10,19,27,נקבה,ונצואלה,דרום אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,8,18,26,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,12,21,28,נקבה,נורבגיה,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,10,25,33,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס מכונות
2015,3,23,32,נקבה,ברזיל,דרום אמריקה,אופקים,מחוז הדרום וירושלים,מטפלת במעון ילדים
2015,1,65,74,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2015,1,59,68,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2015,8,18,26,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,8,36,44,זכר,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,רב
2015,8,4,12,זכר,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2015,8,5,13,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2015,8,18,26,נקבה,קנדה,צפון אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,9,26,34,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,אגרונום
2015,9,25,33,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,כלכלן
2015,9,2,10,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2015,9,66,74,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,אקדמאי במדעים מדוייקים
2015,10,18,26,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2015,10,18,26,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2015,10,18,26,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,10,19,27,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2015,11,29,37,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,בלתי מקצועי
2015,11,30,38,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,בלתי מקצועי
2015,11,68,76,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,בניה כללי
2015,7,19,27,נקבה,"ארה""ב",צפון אמריקה,בת שלמה,מחוז הצפון,סטודנט
2015,7,22,30,זכר,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,"פסל, צייר"
2015,8,18,26,נקבה,"ארה""ב",צפון אמריקה,מטולה,מחוז הצפון,סטודנט
