year_aliya,month_aliya,age,age_tday,gender,erez_moza,subcont,yeshuv_klita,machoz,mikzoa
2016,7,38,45,נקבה,הולנד,מערב אירופה,חצבה,מחוז הדרום וירושלים,טכנאי הנדסה אזרחית
2016,7,5,13,נקבה,הולנד,מערב אירופה,חצבה,מחוז הדרום וירושלים,לא צויין
2016,7,3,10,נקבה,הולנד,מערב אירופה,חצבה,מחוז הדרום וירושלים,לא צויין
2016,1,43,51,זכר,ארגנטינה,דרום אמריקה,בית ניר,מחוז הדרום וירושלים,מוסיקאי
2016,1,35,43,נקבה,גרמניה,מערב אירופה,בית ניר,מחוז הדרום וירושלים,"שחקן, רקדן"
2016,1,6,14,נקבה,ארגנטינה,דרום אמריקה,בית ניר,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,2,23,30,נקבה,בריטניה,מערב אירופה,בית ניר,מחוז הדרום וירושלים,שיווק ויחסי ציבור
2016,2,1,9,זכר,בריטניה,מערב אירופה,בית ניר,מחוז הדרום וירושלים,לא צויין
2016,6,56,63,זכר,רוסיה,מזרח אירופה,בית ניר,מחוז הדרום וירושלים,מנהל כללי
2016,6,56,63,נקבה,רוסיה,מזרח אירופה,בית ניר,מחוז הדרום וירושלים,מנהל כללי
2016,2,29,36,נקבה,"ארה""ב",צפון אמריקה,ראש פינה,מחוז הצפון,מנהל חשבונות
2016,7,18,25,נקבה,צרפת,מערב אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,סטודנט
2016,8,6,13,זכר,אוסטרליה,אוקיאניה,מזכרת בתיה,מחוז תל אביב והמרכז,"תלמיד בי""ס יסודי ותכון"
2016,1,34,42,זכר,רוסיה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,עורך דין
2016,1,32,40,נקבה,רוסיה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,מתרגם
2016,5,52,60,נקבה,אוקראינה,מזרח אירופה,מזכרת בתיה,מחוז תל אביב והמרכז,טכנאי תעשיה ומינהל
2016,11,92,99,זכר,"ארה""ב",צפון אמריקה,מזכרת בתיה,מחוז תל אביב והמרכז,פנסיונר / רנטייר
2016,1,1,9,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,
2016,2,19,27,זכר,גרמניה,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,3,51,59,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,כלכלן
2016,3,13,20,נקבה,מולדביה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,3,4,12,נקבה,מולדביה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,
2016,7,22,30,נקבה,מולדביה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,ספר
2016,7,18,25,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,7,22,29,נקבה,"דרא""פ",שאר אפריקה,אופקים,מחוז הדרום וירושלים,לא צויין
2016,11,19,26,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,10,19,26,נקבה,בלגיה,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,9,18,26,נקבה,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,11,42,49,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,כלכלן
2016,11,35,42,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,גיאולוג
2016,11,18,24,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,12,74,81,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,2,31,38,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,משפטן
2016,3,23,31,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מהנדס אזרחי
2016,1,22,30,נקבה,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,כלכלן
2016,1,26,33,זכר,אזרביג'אן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פועל
2016,5,18,25,זכר,"ארה""ב",צפון אמריקה,אופקים,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2016,5,33,41,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,לא צויין
2016,5,12,20,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,5,8,15,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,7,41,48,זכר,רוסיה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2016,8,61,69,זכר,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,8,59,67,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,גננת
2016,8,87,94,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,8,23,30,נקבה,קזחסטאן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,פסיכולוג
2016,9,76,83,נקבה,אוזבקיסטאן,מזרח אירופה,אופקים,מחוז הדרום וירושלים,עקרת בית
2016,9,30,37,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"מורה בבי""ס יסודי"
2016,9,8,15,זכר,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,10,19,26,נקבה,ברזיל,דרום אמריקה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,10,18,25,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,10,19,27,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,סטודנט
2016,11,18,25,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,11,18,25,נקבה,צרפת,מערב אירופה,אופקים,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,12,82,89,נקבה,אוקראינה,מזרח אירופה,אופקים,מחוז הדרום וירושלים,מורה במדעי הטבע
2016,1,20,27,זכר,בלגיה,מערב אירופה,עוצם,מחוז הדרום וירושלים,סטודנט
2016,12,23,30,נקבה,"ארה""ב",צפון אמריקה,אליכין,מחוז הצפון,שיווק ויחסי ציבור
2016,3,66,74,זכר,צרפת,מערב אירופה,יבנאל,מחוז הצפון,פנסיונר / רנטייר
2016,3,66,74,נקבה,צרפת,מערב אירופה,יבנאל,מחוז הצפון,עקרת בית
2016,7,1,8,זכר,גרמניה,מערב אירופה,יבנאל,מחוז הצפון,
2016,3,42,50,זכר,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,טכנאי חשמל ואלקטרוניקה
2016,3,35,43,נקבה,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,ריפוי בעיסוק
2016,3,2,10,נקבה,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,לא צויין
2016,3,9,17,זכר,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,3,4,11,זכר,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,לא צויין
2016,3,1,8,נקבה,קנדה,צפון אמריקה,יבנאל,מחוז הצפון,לא צויין
2016,9,35,42,נקבה,"ארה""ב",צפון אמריקה,יבנאל,מחוז הצפון,איש מכירות
2016,4,83,91,זכר,הונגריה,מזרח אירופה,כפר תבור,מחוז הצפון,מהנדס מכונות
2016,7,25,32,זכר,צרפת,מערב אירופה,כפר תבור,מחוז הצפון,אדריכל ומתכנן ערים
2016,8,72,79,זכר,"ארה""ב",צפון אמריקה,כפר תבור,מחוז הצפון,עורך דין
2016,8,73,80,נקבה,"ארה""ב",צפון אמריקה,כפר תבור,מחוז הצפון,תקשורת
2016,11,18,25,זכר,"דרא""פ",שאר אפריקה,כפר תבור,מחוז הצפון,סטודנט
2016,2,0,8,זכר,קניה,שאר אפריקה,מנחמיה,מחוז הצפון,
2016,3,27,35,נקבה,אוקראינה,מזרח אירופה,מנחמיה,מחוז הצפון,מהנדס טכנולוגיה אחר
2016,8,18,25,נקבה,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,11,13,20,זכר,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,11,11,18,נקבה,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,11,9,16,נקבה,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,11,8,15,זכר,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,11,45,52,נקבה,"ארה""ב",צפון אמריקה,עתלית,מחוז הצפון,עקרת בית
2016,1,41,49,זכר,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,מהנדס אזרחי
2016,1,41,49,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"פסל, צייר"
2016,1,8,16,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,1,6,14,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,9,56,63,זכר,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,מהנדס בניין
2016,9,51,58,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,טכנאי במדעי הטבע
2016,9,10,17,נקבה,רוסיה,מזרח אירופה,עתלית,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,8,18,25,זכר,"ארה""ב",צפון אמריקה,כנרת קבוצה,מחוז הצפון,בלתי מקצועי
2016,9,77,84,זכר,"ארה""ב",צפון אמריקה,נחושה,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2016,9,63,70,נקבה,"ארה""ב",צפון אמריקה,נחושה,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2016,9,62,69,נקבה,צרפת,מערב אירופה,נחושה,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,6,18,25,נקבה,"ארה""ב",צפון אמריקה,דגניה א,מחוז הצפון,בלתי מקצועי
2016,1,80,87,זכר,בריטניה,מערב אירופה,כנרת מושבה,מחוז הצפון,פנסיונר / רנטייר
2016,1,75,82,נקבה,בריטניה,מערב אירופה,כנרת מושבה,מחוז הצפון,פנסיונר / רנטייר
2016,6,32,39,נקבה,"ארה""ב",צפון אמריקה,מגדל,מחוז הצפון,מנהל עבודה - פחחות ורתכות
2016,3,28,36,זכר,"ארה""ב",צפון אמריקה,מרחביה קבוץ,מחוז הצפון,לא צויין
2016,3,43,51,זכר,רוסיה,מזרח אירופה,מרחביה קבוץ,מחוז הצפון,מהנדס אזרחי
2016,4,32,39,זכר,אוקראינה,מזרח אירופה,מרחביה קבוץ,מחוז הצפון,כלכלן
2016,4,25,33,נקבה,אוקראינה,מזרח אירופה,מרחביה קבוץ,מחוז הצפון,מעצב פנים
2016,4,6,13,זכר,אוקראינה,מזרח אירופה,מרחביה קבוץ,מחוז הצפון,"תלמיד בי""ס יסודי ותכון"
2016,4,2,10,נקבה,אוקראינה,מזרח אירופה,מרחביה קבוץ,מחוז הצפון,לא צויין
2016,12,67,73,נקבה,ארגנטינה,דרום אמריקה,אור הנר,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,1,19,27,נקבה,"דרא""פ",שאר אפריקה,ניר עוז,מחוז הדרום וירושלים,"מורה בבי""ס יסודי"
2016,8,20,27,זכר,"ארה""ב",צפון אמריקה,ניר עוז,מחוז הדרום וירושלים,עובד במקצועות חופשיים
2016,8,21,28,זכר,קנדה,צפון אמריקה,ניר עוז,מחוז הדרום וירושלים,מלצר
2016,8,19,27,נקבה,"ארה""ב",צפון אמריקה,ניר עוז,מחוז הדרום וירושלים,סטודנט
2016,6,13,20,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,6,11,18,נקבה,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,12,38,45,נקבה,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,"מזכירה, כתבנית, קצרנית"
2016,5,5,12,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,
2016,6,34,41,נקבה,"ארה""ב",צפון אמריקה,אשדוד,מחוז הדרום וירושלים,טכנאי חשמל ואלקטרוניקה
2016,6,6,13,נקבה,"ארה""ב",צפון אמריקה,אשדוד,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,6,4,12,זכר,"ארה""ב",צפון אמריקה,אשדוד,מחוז הדרום וירושלים,לא צויין
2016,6,3,10,נקבה,"ארה""ב",צפון אמריקה,אשדוד,מחוז הדרום וירושלים,לא צויין
2016,2,28,36,זכר,רוסיה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,מפיק סרטים/קולנוע
2016,10,33,41,זכר,רוסיה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,סטודנט
2016,6,0,7,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,
2016,11,24,31,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,מקצוע לא מוגדר
2016,2,58,66,נקבה,בלארוס,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,רופא
2016,8,25,32,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,מקצוע לא מוגדר
2016,7,31,38,נקבה,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,מקצוע לא מוגדר
2016,7,2,9,זכר,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,
2016,2,18,25,נקבה,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,2,45,52,זכר,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,עצמאי
2016,1,52,60,נקבה,צרפת,מערב אירופה,אשדוד,מחוז הדרום וירושלים,עצמאי
2016,11,9,16,נקבה,רוסיה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,"תלמיד בי""ס יסודי ותכון"
2016,1,28,36,זכר,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,עורך דין
2016,1,28,36,נקבה,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,עורך דין
2016,1,4,12,זכר,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,לא צויין
2016,1,65,73,נקבה,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,1,20,27,זכר,"ארה""ב",צפון אמריקה,אשדוד,מחוז הדרום וירושלים,תלמיד ישיבה
2016,1,28,36,נקבה,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פסיכולוג
2016,1,78,86,זכר,רוסיה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,1,75,83,נקבה,רוסיה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,1,61,69,זכר,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,נהג במכונית מסחרית
2016,1,63,71,נקבה,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פנסיונר / רנטייר
2016,1,26,34,זכר,אוקראינה,מזרח אירופה,אשדוד,מחוז הדרום וירושלים,פועל
